,start,index_value,CMBD50
107,2020-04-17,0.7085256048025032,7085.256048025031
108,2020-04-18,0.7298383996995986,7298.383996995986
109,2020-04-19,0.6945609501789454,6945.609501789454
110,2020-04-20,0.6781123688002897,6781.123688002897
111,2020-04-21,0.7094517748659199,7094.517748659199
112,2020-04-22,0.7244234942725214,7244.234942725214
113,2020-04-23,0.7362689154800067,7362.689154800068
114,2020-04-24,0.7232493217902191,7232.493217902191
115,2020-04-25,0.725325208811932,7253.2520881193195
116,2020-04-26,0.7259408294059759,7259.408294059759
117,2020-04-27,0.705342686668216,7053.42686668216
118,2020-04-28,0.7086808812622563,7086.808812622563
119,2020-04-29,0.7447830800537708,7447.8308005377085
120,2020-04-30,0.6679898639539011,6679.898639539011
121,2020-05-01,0.7593183570275059,7593.1835702750595
